Tweets,AMG team Labeling ,Label,kkkkk,Dep_num,Non_num,0
"، ""كُلُّ الصّعابِ بلطفِ اللهِ هيّنةٌ طمئن فُؤادَكَ لَا حزنٌ ولا قلَقُ.",2,2,,661,2422,
"🤲🏻🤍🤍🤍 كل يوم تنتظره في حياتك هو من علم الغيب لا يعلم ما فيه إلاّ الله، فلا الهم يدوم ولا البلاء يستمر ولا الأماني تنقطع ما دمت تدعو الله بثقةٍ وتسأله ﷻ بيقين، فأعجز الناس وأكثرهم كآبة وأشدهم تشاؤمًا وأقلُّهم إنجازًا هو من يترك الدعاء، ويحكم على مستقبله من ثقوب بلائه.",2,2,,,,
كل حزن وسط صدري تقتله بسمة شفاتك  💙,2,2,,,,
"RT @AWshla63697: اللهم بُشرى تشبه الغيث، وفرحة تمحو كل حزن، وفرج لكل صابر، وشفاء لكل مريض، ورحمة لكل ميت، واستجابة لكل دعاء🤍",2,2,,,,
RT @i1rules: إذا حسيت أن صبرك نفذ وان نفسيتك تعبانة كرر هذا الدعاء وبتشوف أثره بإذن الله.  اللهم إني أعوذ بك من أن أفقد شغفي ومصادر بهجتي و…,2,2,,,,
عيشوا بسعادة بلاش تفكير في حاجات تجيب حزن ومش موجودة اصلاً❤️❤️❤️❤️❤️,2,2,,,,
RT @Hassanajaieb: والله الواحد ماهو عارف هذا اكتئاب والا انطفاء والا توحد والا اكتفاء والا نضج والا select all 😩😅😅,1,2,2,,,
الڤيديوهات هذي بتجبلي اكتئاب https://t.co/9RCFSrDwJQ,2,2,,,,
RT @ccxlqqs: مافهمت اصحاب بعض المطاعم ليه يفتحون اغاني فيها ؟ هل الناس جوعانه اغاني عشان تسمعونهم ؟  هل بتزيد الارباح ؟ والله قرف قرف  تخيل…,2,2,,,,
RT @_m20ii: مباراه الغد من اهم مباريات الموسم خروج مغلوب والفوز يأهلك لنصف النهائي. ايضا بتواجه فريق منظم وصعب  والفريق مرهق من كثرة المبار…,2,2,,,,
#الدعاء_مفتاح_كل_خير وَتَشتَكِي الرُّوحُ مِن حُزنٍ يُؤَرِّقُهَا مَن كانَ أسمَعَ مِن رَبِّي لِشَكوَاهَا؟  أنتَ الوَدُودُ الرَّحِيمُ البَرُّ خَالِقُنَا أنَّىٰ تَخِيبُ قُلُوبٌ أنتَ مَولَاهَا؟! https://t.co/siq5EXAsKr,2,2,,,,
مليانة حزن ووجع,1,1,,,,
ليتني اقوى على الفرقا واروح و ليت قلبي ما يعاند في هواك امتلى قلبي هم و حزن و جروح و فوق هذا ما يبي احدٍ سواك,2,2,,,,
أحياناً تكون راضي ببعدك عن الناس لكن يمرك إحساس تتمنى واحد بس يفهم حزن عينك,1,2,2,,,
رَأيْتُ الدَّهرَ مختلفاً يدورُ فلا حُزْنٌ يّدومُ ولا سُرورُ وقد بَنَتِ الملوكُ بهِ قُصوراً فما تبقَ الملوكُ ولا القُصورُ  -  مثل اليوم قبل سنة 😔 https://t.co/Nlbalb9Mro,2,2,,,,
"RT @kvenandann7: أسأل الله العظيم في هذا اليوم  أن يشملنا جميعا بالرحمة والمغفرة ، ويصلح نياتنا وذرياتنا ،  ويؤلف بين قلوبنا ، ويستر عيوبنا…",2,2,,,,
يا حزن ليه ساكن ملامحى و بقيت كأنك حتى منى,1,2,2,,,
RT @amrshaheen22: أدعوك بأيام هادئة لا يمسني أي حُزن ولا يُصيبني أي فزع وأن تجعلَني في أمانك..يارب,2,2,,,,
@hyun4ho مت حزن,1,1,,,,
اللهم إني أعوذ بك من أن أفقد شغفي ومصادر بهجتي وحبي للحياة أعوذ بك من درب أسير فيه بلا جدوى ومن حلم أتعلق به ليس لي ومن زرع أتعب عليه بلا ثمر من يأس يُخيم علّي ومن حزن يحجب النور عن عيني,2,2,,,,
RT @w00mm: ياربيي . فترة عجيبه غريبه ماصرت احزن على الانتكاس مثل اول الهمه قلّت صرت حتى انتكس بدون شعور بدون احساس حالة حزن وحالة شتات لايع…,1,1,,,,
"RT @QQ7AT: لكل حُزن قهوة.. ولكل سعادة هنالك قهوة، ولكل صداع كذلك قهوة، هي سيدة المشاعر وسيدة الأوقات ☕️ https://t.co/s7SSc1KShL",2,2,,,,
RT @gar7700: وليسَ اْلْهَجْرٌ بؤلمُنِي ولَكِنْ       جَمَالُ الْذْكرَياتُ يَهُزُ قَلْبِي             اُخَادِعُ حُزْنَ رُوحِي باْلتَمَنِي…,2,2,,,,
@N90R7 والله حزن قدمت عالفيزا وانرفضت لاول مره من وانا بزر 😢 الوعد الاجازة بس بصورلكم لين تحسو انكم معي,2,2,,,,
نعم يوجد حزن في قلب فيصل.,1,2,2,,,
"#آلَلَهِـمِ ;  إنٌآ نٌسًـألَڱ أقَـدُآراً سًـعَـيّده ، وِعَـطٌآيا جَـزَيّلَة ,  وِأيّآمِآ هِنٌيّة جَـمِيّلَة ,  وِلَآ تُجَـعَـلَ بّـعَـدُ عَـسًـر أيّآمِنا  إلَآ يّسًـرآ ,  وِمُِـروِرآً جَـَمِيّلَآً لَآ حًـُزَنٌ فُيّهِ ,,       أَمْسَيْنا وَأَمْسَى الْمُلْكُ للهِ 🍃 https://t.co/HBaRM6xVGS",2,2,,,,
RT @26Sahr: الحمد لله الذي جعل أشياء تكفي أشياء وأشياء تذهب حزن أشياء وأشياء تجعلنا لا نحتاج إلى أشياء الحمد لله على تأخر الفرج الذي يُعلِّ…,2,2,,,,
إظهار عكس ماتشعر به أمر مرهق جدا ˶,2,2,,,,
RT @rxba90: كلُّ الصعاب بلطفِ اللهِ هيّنةٌ طمئِن فؤادكَ لا حزنٌ ولا قلقُ.🖤 https://t.co/JcGOzw62Gi,2,2,,,,
"RT @waytoallah20: قال ابن القيم : الحزن يضعف القلب ويوهن العزم، ويضر الإرادة، ولا شيء أحب إلى الشيطان من حزن المؤمن قال تعالى: {إِنَّمَا ال…",2,2,,,,
ماعاد اعرف شعور الفرح لان الحزن اكلني,1,1,,,,
@f8_s01 حزن وما تعرفين شسبابه يعني تراكمات ):,1,1,,,,
RT @bt3: 🚨 — مثل اليوم قبل سنة :  واحدة من أكثر من اللقطات المؤثرة وأحد أكثر اللقطات حزن في تاريخ كرة القدم.  الأسطورة كرستيانو رونالدو يغا…,2,2,,,,
"RT @5TOSO: اللهم إني اسألك لأحبتي رضًا لا يعقبه سخط، وفرحًا لا يعقبه حزن، اللهم املأ قلبهم بكل ما هو خير لهم، واقضِ حوائجهم بقدرتك يا أرحم…",2,2,,,,
"RT @saheh_hadith: عن أبي هريرة رضي الله عنه قال :   أوصاني خليلي بثلاث لا أدعهن حتى أموت : "" صوم ثلاثة أيام من كل شهر، وصلاة الضحى، ونوم عل…",2,2,,,,
"""ففي القلب شعثٌ لا يلمه إلا الإقبال على الله، وفيه وحشة لا يزيلها إلا الأنس به في خلوته، وفيه حزن لا يذهبه إلا السرور بمعرفته وصدق معاملته """,2,2,,,,
RT @Akkari_Tweet: متعب و مرهق كل يوم تدور ع سبب يخلي عندك شغف تكمل ..,1,1,,,,
RT @om_bandar16: في خاطري لك من الشوق همسات ولك في حشا روحي سؤال وإجابة  ليه المشاعر ترتبط فيك أنت بالذات  وليه الحياة بدون وصلك كآبة😔🦋…,2,2,,,,
"RT @aa__0033: لا تمنح أحد القدرة على أن يبدل سعادتك  إلى حزن ، أو تغيير مزاجك بكلمة ،  أعطهم كل ما تحب إلا نفسك وسعادتك  فلا أحد يستحق ذلك…",2,2,,,,
ابي انتحر مو قادره استحمل كل هذا لوحدي ومو قادره استحمل شيء اصلًا ,1,1,,,,
"أعرف لذعة الحزن، وذلّ الخضوع، وبَرد الرِّضا. أعرف كآبة التماسك، ومخافة الانهيار، ووحشة المرء من الناس. أعرف قصيدة النسخة الثانية من الغريب التي تنغرس في القلب مثل السكين لتقول له: هذا أنت.",1,1,,,,
"ليش نحب رمضان ونترقبه بحبّ وحماس واحنا نصوم النهار ونقوم كل الليل وجسدنا مو ماخذ حاجته الكافية من الراحة ؟ لأن الروح ماخذة كامل احتياجها من الطاعة ومتغذية جدًا مع ان الجسد مرهق ويطلب الراحة فسبب الضيقة والنكد الي نحس فيه فجأة ان ""الروح تحتاج لصلتها بالله كما الجسد يحتاج للطعام""",2,2,,,,
ضعف  وهم و حزن و ألم,1,1,,,,
اللهم جبرا يعوض قلوبنا عن كل حزن,2,2,,,,
تعبت وانا أكل لحالي احس بيجيني اكتئاب,2,2,,,,
بثينة عيسى عندها كتاب يعطيك امل!! الصراحة مرة قريتلها رواية خرائط تيتة دخلتني في اكتئاب اسبوع كمية سوداوية فيه مش طبيعية من وقتها بقيت بتجنب كل حاجة كاتبتها بس شكلي هغير رأيي واجرب كبرت ونسيت ان انسى https://t.co/Ghjnl4jjqK,2,2,,,,
"اطمئن : ثِمة سعادة فـ نهاية كلّ حزن، وراحة بعد كلّ تعب، ونور بعد كلّ ظلام وأشياء جميلة فـ علم الغيب حتماً ستأتي فـ ثق بالله  #هاشتاقك_باقل_تكلفه_θ5O87ΘOΘ78",2,2,,,,
"RT @ad3yawithlove: اللهم إني أعوذ بك من فواجع الأقدار، ومن فقد الأهل، ومن حزن القلب، وحرقة الشعور، اللهم إني استودعتك نفسي، وأهلي ومن أحب،…",2,2,,,,
@LazyDLaw وتصير مفهي والتركيز 0 وتعطيها نومه ويجيك فقدان شغف ممزوج بمشاعر اكتئاب وتوتر لأنك ما أنجزت وذاكرت وتحس بالندم وتجيب العيد بالاختبار وتنعاد الدائرة 😂,2,2,,,,
RT @Sham__2002: يستطيع الإنسان أن يقاوم كل شيء إلا حزن يراه في عين أمه,2,2,,,,
RT @_6iiii8: ماحد يجيب اكتئاب غير البشر اما اللون الاسود ماشفنا منه شي .,2,2,,,,
"يا جبّار، اجبر أرواحنا المكسورة جبرًا يليق بجبرك، جبرًا كأن لم يمسّنا كسر ولم ينتابنا حزن 🤍",2,2,,,,
رمضان🌙 اللهّم أجعله نهايه لكل حُزن وبدايه لكل فرحه يارب ♥️ رنمو,2,2,,,,
"اللّهم ان كانت هذه ليلة القدر اللهم إنك تُدرك دعوتي حتى لو لم أنطق بها يارب حقق لي ما أُريد فأنت تعلم السر وما يخفى،يارب إني تمنيت الكثير وكل الكثير بيدك،يارب شيء يغير كل شيء،اللهم أسعدني سعادة لا يعقبها حُزن سخر لي من حظوظ الدنيا أطيبها،ربي أصر بدحد",2,2,,,,
يانعمه من الله وياقطعة من قلبي ويامن تسكن يسار صدري جعل عيونك اللي أحبها ماتمرها لحظة حزن (اخي)💞A💞🕊️ https://t.co/wT2SR7v4Or,2,2,,,,
المفروض منظمة الصحة العالميه تضيف نوع على أنواع الاكتئاب وهو اكتئاب فترة المغرب مع نهاية غروب الشمس 👍🏻,2,2,,,,
"اللهم إني أعوذ بك من فواجع الأقدار، ومن فقد الأهل ومن حزن القلب، وحرقة الشعور، اللهم إني استودعتك نفسي وأهلي ومن أحب، ربي أكتب لي أيام جميله إسعدني بتفاصيلها، و إغمرني بخيرك الذي لا يفنى ، اللهم إرزقني حظ الدنيا ونعيم الخرة، ويـسر لي أمري يارب العالمين “.❣.",2,2,,,,
"مافي شيء أسوء من أرهاق الروح، تحس إنك مرهق تبغى تنام عشان ينتهي كل هذا ولكن مع الأسف ، في منتصف غفوتك تصارعك الاحلام السيئه",1,1,,,,
للأسف الحزن تمكن مني,1,1,,,,
مابغا انتحر وانهي حياتي ابغا اختفي واعالج المشاعر السلبيه,1,1,,,,
لو مالحقوني كان انتحرت,1,1,,,,
مافيه إلا سؤال واحد يراودني هل يستحق كل ذا الألم إني انتحر ؟,1,1,,,,
والله انا ما ابي احد لاني تعبت ونفسيتي تدمرت,1,1,,,,
والله المفروض أكون اقوى بس ما اعرف شلون ارجع شغفي للحياة,1,1,,,,
متأكده لو احد انحط مكاني كان انتحر,1,1,,,,
عطوني حقي ولا اقسم بالله انتحر,1,1,,,,
والله من غير صحباتي كان ح انتحر,1,2,2,,,
الى اللقاء مداومه ويمكن انتحر 🙏🏻❤️ #معصيتي_رحتي,1,2,2,,,
انتحر ولا اروح مع عمي و زوجته قسم بالله غثاثه !,1,2,2,,,
أنتحر لك شوق و أسعالك و أضحّي ولا ردود أفعال عن فعلٍ يشاف,2,2,,,,
صداع ولا نمت للحين وبعد ساعه تقريباً بداوم  هل انتحر ؟ ايوه,2,2,,,,
