Label,Tweets
2, اربد فيها جامعات اكثر من عمان ... وفيها قد عمان ونص لعيبه المنتخب منها ... و 80 % من مطربين الاردن منها
1, الحلو انكم بتحكوا على اساس انو الاردن ما فيه فساد سرقات
2, كله رائع بجد ربنا يكرمك
1, لسانك قذر يا قمامه
1,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات و اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد
2,ابشرك فيه تحسن ولله الحمد باذن الله يرجع قريبا
1,ابو الشباب راعي العود ليش ماوزنه في البيت غباء
1,ابو معيتق قطع اوتار العود وقال السلام عليكم
2,اتحزن فان الله يدافع عنك والملائكه تستغفر لك و المؤمنون يشركونك في دعائهم كل صلاه  و النبي صلى الله عليه سلم يشفع و القران يعدك وعدا حسنا  و فوق هذا رحمه ارحم الراحمين
2,اترك ما تهوى لاجل من تخشى
1,اتصور لو ظليت ما اتعلق احسن لانه تعليقاتك مقرفه
1,اتفه على هيك برنامج عالمي
1,اتقوا الله فينا بكفي رفع اسعار الرواتب بالحضيض
1,اجتماع حواء اكيد في خرفنه 
1,اجل الاخير واضح انو بيمثل وتمثيلو خام هو والا معو
2,احب الله تعالى و رسوله الكريم
1,احتمال ما يشارك الليو البايخ
1,احذفه لاني بجلس احش فيهم لمين اكفر
1,احس انه يفطر حشيش
2,احسن اظن بالله وتوكل عليه وحده
2,احسن شيء العمل الذي يؤدي للاستمراريه
2,احسنت  وصفت ما يدور او يجول في راس كل شاب ملتزم كل فتاه عفيفه نقيه تقيه
2,احسنت كلام دقيق جدا
2,احسنوا الظن وثقوا بما عند الله وتوكلوا عليه لا تفسد عقلك بالتشاؤم 
1,احقر من هيك خيانه ما في
2,احلى اشي الواحد يوكل بدون ما يطبخ
2,احلى اشي في الحياه الاستقرار مع زوج صالح
2,احلى شىء النهايه الباقيه صح كلامك
2,احلى صباح من احلى شيخ في العالم
1,احمد الله تعالى ان اولادي لايدرسون في مدارس الاردن.
2,احيانا الوحده تزيل بعضا من الهموم
2,احيانا يكون الفشل دافع للنجاح
1,اخ يا بطني عورني من الضحكك
1,اخبار مسخره
1,اخر همي اني اتناقش مع اي كائن حي اواتجادل بذات اذاكان عقيم فكريا
1,اخر واحد اش فيه مجنون المفرووض اللجنه تمنع المجانين
1,اخر واحد مهستر
1,اخرس صحيح ما تفهم
2,ادعي من الله ان يقوني علي طاعته
2,اذا اردت ان يفتح الله عليك فالزم هذا الدعاء البسيط  اللهم اجعل اﻷخره همي 
2,اذا استعنت بالله وتوكلت عليه ونيتك كانت صادقه سوف يقف الله بجوارك ولن يخزلك ابدا ?احبك ربى
1,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتى اسرائيل
2,اذا شعرت بشيء من حالات الاحباط والملل فجرّب العمل التطوعي
2,اذا غلبك امر وعجزت عن التعامل معه فكرر يا حي يا قيوم برحمتك استغيث
1,"اذا فكرت مره تخسر اصحابك يا ليت تخسّرهم على احد يستاهل، صح الحياه تعطيك ميه حُب بس الحياه ما تهديك اصّحاب مرتيّن"
1,اذا كان المدير يخاف من معلم مبدع وكان زملاء العمل يحاربون هذا المعلم فهم في الحقيقه ينتقصون من حظ طلابه
1,اذا كان حالك احسن من حالو دوس لايك وقول سبحان الله
1,"اذا كنّا بالفعل على موعد مع رفع لاسعار الخبز كما يشاع، فالاولى بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه!"
2,اذا لم تقل لا للظلم فسيستمر الى الابد
1,اذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك
2,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقه المجستير العام القادم والشفاء بارك الله فيك
1,ارحمونا صرنا نصف السياره نطلع بالباص حرام عليكم
1,ارحمونا من الجوكر
2,اساس الاصلاح واهم مرتكزاته المعلم داخل غرفه الصف مع طلابه وتلاميذه والاعتماد عليه بالتنفيذ لخطط واستراتيجيات عليا
2,اسال الله ان يرزقني من يدعو لي في ظهر الغيب
2,اسال الله عزوجل له الثبات
2,اسال الله في علاه ان يحفظكم بما يحفظ به عباده الصالحون
2,اسال الله لك الاخلاص يا حبيبنا و اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الى منبركم كل عام وانت في خير وبخير
2,اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم
2,استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه
1,استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز
1,استخفف من لجنه التحكيم
2,استعينوا بالله يا مسلمين
1,استغفر الله مجانين يروحون سوبر ستار
1,استهبال باستهبال
2,استودعكم الله الذي لا تضيع ودائعه
1,اسخف لجنه تحكيم شفتها بحياتي
1,اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين
2,اسعد الله صباحكم علامتنا بالخيرات
1,اسفل من بعضهم
1,اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.
2,اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف
1,اسوا شعب الله في الكوميديا
2,اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل
2,اشداء على الكفار رحماء بينهم
1,اشرب من كاس المر
2,اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين
1,اشي بقهر مش لا هل درجه
2,اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور
2,اصدقاء اوفياء ونتعلم منهم
1,اصلا ابو وديع لو كان اجا كان خسر
1,"اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات"
1,اصلا سوبر ستار للعاهات
1,اصلا كتير من البنات بدهن يحكن مع الشباب
1,اصلا هدا يمسى مرض الرهاب الاجتماعي
1,اصلن صاحب البرنامج ماخذ شباب الامه مصخره
1,اصواتهم مع التوتر خربت
2,اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه
2,اضحك تضحكلك الدني
2,اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله
1,اطالب برحيل هذه الحكومه
2,اطفال اليوم رجال الغد ومستقبل الامه
2,اطمئن يا قلبى فرزقى لا ياخذه غيرى
1,اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته
1,اعطيه علي راسي هدا الصح ياحاجه الله اكبر
1,اعلن الانسحاب يا حمار
2,اعمل ليومك غدك كن متفائلا دائما يا صاحبي
2,اعنكم الله تقبل منكم يسر طريقكم
1,اغرورقت عيناي بالدموع
2,افتخر اني مسلم نعمه من نعم ربي
2,افشو السلام بينكم
2,افعال لا تضاهيها اقوال
1,افلام الرعب تاثر على اطفالنا
1,اقترح تحويلهم الى طبيب نفسي ليس الى القضاء
1,اقرفني شعر تقول حاط دبر امل وجاي
1,اقرفني والله
1,اقسم بالله ان العرب اكثر الشعوب تخلفا
1,اقسم بالله انه منتهيي
1,اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا
1,اقطع راسها وخلص
1,اقل من عادي هذا مستواك اقلب وجهك
1,اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله
2,اكبر مشروع طاقه شمسيه بالعالم...في الاردن اسمه شمس معان..حفظ الله الاردن
1,"اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح"
1,اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو
2,اكرمك الله يا استاذي الفاضل
2,اكيد الله لا يحرمنا من هالنعمه العظيمه
1,اكيد بقرف
2,اكيد جزاك الله خيرا
1,اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان
2,اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا
1,اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم
2,اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم
1,"الاْردن تعدّل المناهج: تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تمّ اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب"
1,الا لعنه الله على الشيعه الى يوم الدين
1,الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا
2,الابتسامه كلمه طيبه بدون حروف
2,الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن
1,الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار ... التردي ليس مرتبط بالربيع العربي بل قبله بمده عام
2,الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار
1,الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي
2,الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله
1,الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟! شو علاقه الفخر والاعتزاز ؟!
